Propriétaire du contact,Commercial,Représentant légale,Nom commercial,Numéro de téléphone,Adresse e-mail,ADRESSE,SECTEUR,METIER/Description,SIRET,IDCC,Note à moi même,Conclusion
lebon.commercial@disciplina.re,EMILE,BARD STEVE,Optimum," 02 62 41 47 60
",,"33 RUE PASTEUR,  ",97400 SAINT-DENIS,"Activités des agences de publicité
",45238477900032,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,KANOUMA,Ménage et repassage à domicile - Shiva," 02 62 37 97 41
",,313 avenue 313 avenue de la République , 97440 Saint André ,"Nettoyage courant des bâtiments
",98177425000071,,Non ne fais pas ,
lebon.commercial@disciplina.re,EMILE,AXEO,"Axeo Services La Reunion
"," 06 92 03 85 61
",,"105 RUE DU GENERAL DE GAULLE,  ",97400 SAINT-DENIS,"Nettoyage courant des bâtiments
",53761744100028,,Ne fais pas ,
lebon.commercial@disciplina.re,EMILE,Soulaimana Saffy,DIALIE," 06 92 02 79 22
",,"LOCAL N0 4, 1 IMPASSE MARDAYE, ", 97412 BRAS-PANON,"Aide à domicile
",83045322100020,,Prise de contact ok 01/10/25,
lebon.commercial@disciplina.re,EMILE,Léonie Sylvain,"Solidarité Inter Reunionnaise
"," 02 62 47 51 27
",,"HORIZON ETAGE 6, 2 RUE LORY LES BAS, ", 97490 SAINT-DENIS,"Aide à domicile
",51782019700047,,Très intérresser  prise de contact ok 01/10/25,service.rh1@scopsir.fr
lebon.commercial@disciplina.re,EMILE,	JOHN MORIS LAW INVEST,JML SAP JOHN MORIS LAW SERVICES A LA PERSONNE," 02 62 41 61 64
",,2 imm Banoubie 50 route Nationale 2  ,97412 Bras Panon,"Aide à domicile
",52941104300019,,RAPPELER cette après midi ,
lebon.commercial@disciplina.re,EMILE,EMONNET Laëtitia,"Kangourou Kids
"," 02 62 02 01 21
",,"230 BOULEVARD JEAN JAURES,  ",97400 SAINT-DENIS,"Accueil de jeunes enfants
",81084423300025,,Non du tt ,
lebon.commercial@disciplina.re,EMILE,AID'RUN,AID'RUN," 02 62 29 77 21
",,"424 AVENUE DES MASCAREIGNES, ", 97440 SAINT-ANDRE,"Aide à domicile
",83152793200022,,Non ne fais pas ,
lebon.commercial@disciplina.re,EMILE,VIVARUN,VIVARUN," 02 62 37 53 70
",,29 rue Georges Pompidou  ,97470 Saint Benoît ,"Aide à domicile
",85055201900042,,Prise de contact ok 01/10/25,
lebon.commercial@disciplina.re,EMILE,	Mara Larissa,COEUR SOCIAL 974," 02 62 69 28 19
",,21 allée Chrysanthèmes Ste Clotilde , 97490 Saint Denis ,"Aide à domicile
",81366028900014,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,KOHLER Agnes,"Odom Services
"," 02 62 23 02 02
",,"30 RUE DE LA COMPAGNIE,  ",97400 SAINT-DENIS,"Action sociale sans hébergement n.c.a.
",49967688000036,,rpd pas,
lebon.commercial@disciplina.re,EMILE,	Saminadapoulle Jovanna,"SOS PRESTIGE SERVICES A DOMICILE
"," 02 62 75 12 37
",,"105 AVENUE MAHATMA GANDHI, ", 97441 SAINTE-SUZANNE,"Aide à domicile
",92176142500013,,rpd pas,
lebon.commercial@disciplina.re,EMILE,	FONTAINE VINCENT ALEXANDRE,Les délices," 06 93 46 50 84
",,"APPARTEMENT 17, 22 RUE LEO LAGRANGE,  ",97490 SAINT-DENIS,"Aide à domicile
",50755146300056,,Petite structure ,
lebon.commercial@disciplina.re,EMILE,	COUDERETTE Thomas,"SODIPRIM
"," 02 62 48 47 90
",,"68 B RUE LEOPOLD RAMBAUD,  ",97490 SAINT-DENIS,"Autre imprimerie (labeur)
",38199667700039,,Pas pour le moment mais prise de contact ok 01/10/25,
lebon.commercial@disciplina.re,EMILE,	RAHARIVELO Christine,"Loto Pmu Le Malibu
"," 02 62 41 56 24
",,"47 RUE VICTOR MAC-AULIFFE,  ",97400 SAINT-DENIS,"Commerce de détail de produits à base de tabac en magasin spécialisé
",82882302100013,,rpd pas,
lebon.commercial@disciplina.re,EMILE,Goudron Sylvaine,LOTO DIMANCHE," 02 62 30 30 97
",,"35 BOULEVARD DE LA PROVIDENCE, ", 97400 SAINT-DENIS,"Organisation de jeux de hasard et d'argent
",34520855700016,,non du tt ne fais pas ,
lebon.commercial@disciplina.re,EMILE,	Mertes Peter,"CAFE EDOUARD
"," 02 62 28 69 45
",,"10 RUE MONTREUIL, ", 97400 SAINT-DENIS,"Débits de boissons
",53362860800028,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	Tsang King Sang Eric,"Maison de la Presse
"," 02 62 20 34 66
",,"3 AVENUE DE LA VICTOIRE,  ",97400 SAINT-DENIS,"Commerce de détail de produits à base de tabac en magasin spécialisé
",38117306100015,,cette aprem,
lebon.commercial@disciplina.re,EMILE,"Gilberte Techer
",SNACK BAR LA GAZETTE - LA GAZETTE," 02 62 02 60 79
",,"55 RUE DES LIMITES,  ",97412 BRAS-PANON,"Location de terrains et d'autres biens immobiliers
",33367139400026,,non du tt,
lebon.commercial@disciplina.re,EMILE,"Michel Tchin-Sin
","TCHING SIN MICHEL
(STATION SERVICE ELF)"," 02 62 53 51 60
",,"46 RUE ROGER PAYET,  ",97438 SAINTE-MARIE,"Location de terrains et d'autres biens immobiliers
",34077013000037,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	Chane Tho Wor Jean,Romalou," 02 62 50 15 31
",,"20 RUE GEORGES POMPIDOU, ", 97470 SAINT-BENOIT,"Autres commerces de détail spécialisés divers
",49156735000013,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,"FONDATION POUR LE LOGEMENT DES DEFAVORISES
","FONDATION POUR LE LOGEMENT DES DEFAVORISES
", 02 62 40 99 71,,100 rue Gén de Gaulle , 97400 Saint Denis,"Action sociale sans hébergement n.c.a.
",34528201600202,,RAPPELER,
lebon.commercial@disciplina.re,EMILE,Ah Tec Jules,"Ah Tec Boutique
"," 02 62 41 67 26
",,"37 RUE SAINT JACQUES,  ",97400 SAINT-DENIS,"Commerce de détail d'autres équipements du foyer
",41929017600025,,Non ne fais pas ,
lebon.commercial@disciplina.re,EMILE,GRONDIN Christine,"CAP LA MONTAGNE
",0262 23 79 41 ,,"LA MONTAGNE, 40 ROUTE DES PALMIERS,  ",97417 SAINT-DENIS,"Restauration de type rapide
",89018749500027,,complet,
lebon.commercial@disciplina.re,EMILE,GINET Bernard,"La Boutique Café
", 02 62 21 21 07,,"ANGLE RUE JULIETTE DODU ET, RUE FELIX GUYON,  ",97400 SAINT-DENIS,"Restauration de type rapide
",81106784200013,,Du tout ne fais pas ,
lebon.commercial@disciplina.re,EMILE,Herve Emmanuel,"HERVE THERMIQUE 
"," 02 62 28 06 25
",,301 rue Andropolis  ,97440 Saint André ,"Travaux d'installation d'équipements thermiques et de climatisation
",62722004902148,,Non pas pour le moment ,
lebon.commercial@disciplina.re,EMILE,	Cerveaux Jean-Louis,CRVO," 06 92 95 11 80
",,"BAT A 802 SAINTE CLOTILDE, 62 BOULEVARD DU CHAUDRON,  ",97490 SAINT-DENIS,"Travaux d'installation électrique dans tous locaux
",81035995000021,,Complet pour le moment ,
lebon.commercial@disciplina.re,EMILE,	MANICON VELIN Jean,"Manix Fluide
"," 02 62 51 60 62
",,"BRAS PANON, 16 B CITE ARTISANALE,  ",97412 BRAS-PANON,"Travaux d'installation d'eau et de gaz en tous locaux
",44167988300021,,Non du tt,
lebon.commercial@disciplina.re,EMILE,Payet Claude,"SAS PHB
"," 02 62 71 12 30
",,"FRANGIPANIER 1 - LOCAL 9005, 42 AVENUE JEAN ALBANY,  ",97400 SAINT-DENIS,"Activités spécialisées, scientifiques et techniques diverses
",89213559100014,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,"Kouyoumdjian Rafi ,","Oteis la Réunion
"," 02 62 28 58 12
",,2 Bis rue D'Emmerez de Charmoy Ste Clotilde , 97490 Saint Denis ,"Ingénierie, études techniques
",33832946900401,,Complet pour le moment ,
lebon.commercial@disciplina.re,EMILE, Ferjani Nejia,IMAGEEN INGEN MANAG GENIE ENERGET ENERG NOUV (IMAGEEN)," 02 62 21 54 43
",,"8 RUE HENRI CORNU,  ",97490 SAINT-DENIS,"Ingénierie, études techniques
",47982343700013,,Rappeler,
lebon.commercial@disciplina.re,EMILE,	Schmutz Nicolas,Réuniwatt," 06 92 64 43 13
",,"ZAC FOUCHEROLLES, 14 RUE DE LA GUADELOUPE, ", 97400 SAINT-DENIS,"Recherche-développement en autres sciences physiques et naturelles
",51891934500018,,Non du tout ,
lebon.commercial@disciplina.re,EMILE,Galbois Patrice,"TRAVAUX ET MONTAGE
(COREX TRAVAUX ET MONTAGE)"," 02 62 92 92 00
",,"14 RUE DE LA GUADELOUPE,  ",97400 SAINT-DENIS,"Construction de réseaux électriques et de télécommunications
",51027261000013,,OUI administration  comptabilite@ixeo.re,
lebon.commercial@disciplina.re,EMILE,        BARDEUR WILSON JEAN BAPTISTE,"Wilson Bardeur
"," 06 92 68 53 41
",,"171 RUE DES SENSITIVES,  ",97440 SAINT-ANDRE,"Travaux d'installation d'équipements thermiques et de climatisation
",80419396900016,,OUI assistant de direction ,
lebon.commercial@disciplina.re,EMILE,Meynard William,"Ingenierie Concept Réunion
"," 02 62 30 85 50
",,12 rue Lislet Geoffroy Ste Clotilde  ,97490 Saint Denis  ,"Ingénierie, études techniques
",44353323700014,,non pas apprenti,
lebon.commercial@disciplina.re,EMILE,	LOVELAS CHARLES DOMINIQUE,"Jacques Lovelas
"," 06 92 60 62 50
",,"PLACE MAIRIE ANNEXE DU BRULE, VILLAGE DU BRULE,  ",97400 SAINT DENIS,"Commerce d'alimentation générale
",50368831900048,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,	Paquiry Louis,"STATION CALTEX PAQUIRY
"," 02 62 58 38 42
",,1199 chemin Etang  ,97440 Saint André,"Commerce de détail de carburants en magasin spécialisé
",42330079700010,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	Abraham- Adam Ya-Eesh,"(TAYYEB FOOD OCEAN INDIEN)
"," 02 62 41 05 86
",,"82 RUE ALEXIS DE VILLENEUVE, ",97400 SAINT-DENIS,"Autres commerces de détail alimentaires en magasin spécialisé
",50103915000013,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	TOLSY ANNE,"TOLSY ANNE
"," 02 62 50 16 59
",,"1 RUE FERDINAND AUBER,  ",97470 SAINT-BENOIT,"Commerce d'alimentation générale
",31087171000011,,Non trop petite ,
lebon.commercial@disciplina.re,EMILE, SIMJEE Arielle,"Direct Sarl
"," 02 62 72 09 65
",,"3 A, 3 A ALLEE LOUIS BEGUE, ", 97400 SAINT-DENIS,"Restauration de type rapide
",40240665600031,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,Hassanaly Shane,ZOT BAZAR," 02 62 37 32 65
",,"CARAVELLES LA RESERVE, 14 RUE BARDEAUX, ", 97438 SAINTE-MARIE,"Autres commerces de détail en magasin non spécialisé
",91201047700012,,Non du tout ,
lebon.commercial@disciplina.re,EMILE,	Badate Anwar,"Halal Spot
", 0693 85 69 70 ,,"4 RUE LAFERRIERE,  ",97400 SAINT-DENIS,"Commerce d'alimentation générale
",53869434000018,,Complet pour le moment ,
lebon.commercial@disciplina.re,EMILE,	LATCHANE GUILLAUME," (EPICERIE LATCHANE)
"," 02 62 50 36 94
",,"RIVIERE DES ROCHES, 4 RUE ALFRED PICOT,  ",97412 BRAS-PANON,"Commerce d'alimentation générale
",50395107100029,,Non ne prend pas ,
lebon.commercial@disciplina.re,EMILE,MEAJUN TWAHEER,Mr Meajun Twaheer," 02 62 20 27 10
",,"25 CHEMIN LAGOURGUE,  ",97440 SAINT-ANDRE,"Commerce d'alimentation générale
",53228492400018,,Déjà centre de formation,
lebon.commercial@disciplina.re,EMILE,	GARDON JUHAN,"Epicerie Gardon
"," 02 62 17 71 31
",,"LOCAL 29 BAT D PROXIMA, 31 RUE DU BOIS DE NEFLES,  ",97400 SAINT-DENIS,"Commerce d'alimentation générale
",89304197000011,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	PANTALEON PIERRE,"Pierre Pantaléon
"," 02 62 29 39 96
",,"ZAC DE MOUFIA, 11 RUE DU MAINE,  ",97490 SAINT-DENIS,"Installation de structures métalliques, chaudronnées et de tuyauterie
",32551638300024,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	Lebon Jean,SIRFLEX O.I. SOCIETE INDUSTRIELLE REUNIONNAISE DU FLEXIBLE OCEAN INDIEN," 02 62 56 94 36
",,"ATELIER N°19 ILOT 3, PARC D’ACTIVITE DE LA MARE,  ",97438 SAINTE-MARIE,"Fabrication d'équipements hydrauliques et pneumatiques
",40989170200030,,non du tt ,
lebon.commercial@disciplina.re,EMILE,	HERIGE,"BTP Sainte Marie
"," 02 62 71 08 59 
",, La Mare 8 rue Pondichéry , 97438 Sainte Marie  -  ,"Commerce de gros (commerce interentreprises) de minerais et métaux
",42935620700051,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,MOUNAVARALY HATIM,"Brico-Loisirs
"," 02 62 21 12 24
",,"
Localisation3 rue Bouvet  ",97400 Saint Denis,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)
",82196252900011,,rappeler ,
lebon.commercial@disciplina.re,EMILE,	ELISABETH Natacha,"Maintenance Installation Numérique
"," 06 92 48 52 20
",,"ZA FOUCHEROLLES, 14 RUE DE LA GUADELOUPE,  ",97400 SAINT-DENIS,"Travaux d'installation électrique dans tous locaux
",75358038000016,,Non du tt,
lebon.commercial@disciplina.re,EMILE,	BAZALINE GREGORY,"Bazaline plomberie services
"," 06 93 30 39 17
",,28 lotissement Cyprès  ,97440 Saint André ,"Travaux d'installation d'équipements thermiques et de climatisation
",50857154400024,,non du tt,
lebon.commercial@disciplina.re,EMILE,	VILLENDEUIL Hugues,TS TECHNOLOGIES-SERVICES," 02 62 20 08 94
",,8 RUE GEORGES CLEMENCEAU,97400 st denis ,	Télécommunications filaires,45398109400049,, du tt,
lebon.commercial@disciplina.re,EMILE,        Holding Gilles BALOUKJY,AMC ATELIER MENUISERIE CONSTRUCTION,0262 29 49 78,,"ZAC CHE FINETTE, 38 RUE DES ARTISANS,  ",97490 SAINT-DENIS,"Fabrication de charpentes et d'autres menuiseries
",38110765500015,,info@amc.re,
lebon.commercial@disciplina.re,EMILE,	APOLONIA,Bourbon fraicheur,06 92 66 07 67 ,,27 BOULEVARD DE LA PROVIDENCE ,Saint-Denis 97400,"Commerce de gros (commerce interentreprises) de fruits et légumes
",42255298400011,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,"	ROUMMAAN , MOGALIA Zaitoun , BDO-HDM AUDIT",MOGALIA FRERES (SUPER CATENA),0262 58 75 85 ,,	1 CHEMIN PENTE SASSY,97440 saint andre ,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)
",42305896500017,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,CONVERT Dieucy,Pièces Auto Bras Panon Sarl Outils,0692619452 / +262 262 51 07 58,,1 rue Eugène Dayot  ,97412 Bras Panon,"Commerce de détail d'équipements automobiles
",81529030900013,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,Mulot Dominique,ZARBOUTANT,0692 67 31 40,,"7 CHEMIN ARTHUR RIMBAUD,  ",97438 SAINTE-MARIE,"Récupération de déchets triés
",89297011200017,,Rappeler cette après midi ,
lebon.commercial@disciplina.re,EMILE,Mourouvin Vishnee,VEGETAL 974,0692 59 55 52,,134 rue roger payet rivieres des pluies,97438 STE MARIE,"Commerce de détail de fruits et légumes en magasin spécialisé
",90039698700027,,Complet pour l'instant janvier oui ,
lebon.commercial@disciplina.re,EMILE,FIFAURE,Diam Loisirs, 0262 58 20 68,,1 A rue Commerce , 97441 Sainte Suzanne ,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)
",41498432800057,,non du tt ,
lebon.commercial@disciplina.re,EMILE,Grasland Pierrick,CAVE DE LA VICTOIRE, 02 62 21 74 03,,35 AVENUE DE LA VICTOIRE,97400 saint denis,"Commerce de détail de boissons en magasin spécialisé
",43922198700019,,rappeler demain ,
lebon.commercial@disciplina.re,EMILE,Trag Patrice,Bourbon compta, 02 62 20 20 33,,5a chemin grand canal,st denis 97400,"Activités comptables
",50411867000059,,AB AD+ AD Compta,
lebon.commercial@disciplina.re,EMILE,	Doungar Hakim,97 CAR,02 62 31 67 14,,14 RUE DE LA GUADELOUPE,saint denis,"Location de courte durée de voitures et de véhicules automobiles légers
",87882040600014,,rpd pas,
lebon.commercial@disciplina.re,EMILE,	Gorczewski Jean,La case à chocolat," 02 62 20 20 69
",,29 rue Victor Mac Auliffe  ,97400 Saint Denis,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé
",49074008100016,,COMPLET,
lebon.commercial@disciplina.re,EMILE,        TONNELIER Mathieu,COCO CANNELLE," 02 62 24 48 60
",,"LOCAL 49 - ILOT NUM 7, PARC D’ACTIVITE DE LA MARE,  ",97438 SAINTE-MARIE,Pâtisserie,48400231600046,,AB à faire 1 poste vendeur ,
lebon.commercial@disciplina.re,EMILE,DEVEAUX CELINE,CELINE BOUTIQUE," 02 62 46 00 45
",,"526 AVENUE DES MASCAREIGNES, ", 97440 SAINT-ANDRE,"CELINE CLOTILDE
",34852568400018,,non du tt ,
lebon.commercial@disciplina.re,EMILE,Hayot Rodolphe,REP Saint-denis, 02 62 42 54 85,,76 rue République  ,97400 Saint Denis ,"Commerce de détail d'équipements automobiles
",42817364500071,,rpd pas,
lebon.commercial@disciplina.re,EMILE,        CLAIN JACQUES,Electronics Express," 02 62 28 76 60
",,66 avenue Eudoxie Nonge Ste Clotilde , Saint Denis 97400,"Réparation de produits électroniques grand public
",31175912000042,,Non du tt,
lebon.commercial@disciplina.re,EMILE,Hayot Rodolphe,Ferebam," 02 62 35 20 00
0262 15 05 20",,2 Bis rue Pierre Aubert Ste Clotilde , 97490 Saint Denis ,"Activités des sociétés holding
",44464208600078,,rpd pas,
lebon.commercial@disciplina.re,EMILE,BOYER BERNARD,Bernard Boyer," 02 62 20 29 58
",,143 rue Gén de Gaulle  ,97400 Saint Denis,"Réparation de produits électroniques grand public
",44847982400014,,Rpd pas ,
lebon.commercial@disciplina.re,EMILE,ROBERT JEAN JEROME,"Technologies Robert Jean
"," 06 92 81 38 42
",,"16 CHEMIN DU CAP, ",97470 SAINT-BENOIT,"Réparation de produits électroniques grand public
",51327437300010,,pas pour le moment mais prise de contact ok ,
lebon.commercial@disciplina.re,EMILE,	SINGAINY ERIKA,SINGAINY ERIKA (PEGASUS-MOTORS)," 06 92 26 65 18
",,"190 A ROUTE NATIONALE 2,  ",97470 SAINT-BENOIT,"Commerce de détail d'équipements automobiles
",44881490500031,,Non du tout ,
lebon.commercial@disciplina.re,EMILE,	PERRIER MARIE,"Marie-Joseph Perrier
"," 02 62 58 46 46
",,"2597 RUE LAGOURGUE, ", 97440 SAINT-ANDRE,"Réparation de produits électroniques grand public
",37836296600020,,rpd pas,
lebon.commercial@disciplina.re,EMILE,	Perrault Jean-Stephane,MECATUNNING,0262 24 84 54 ,,"39 CHEMIN DES LETCHIS, ", 97400 SAINT-DENIS,"Entretien et réparation de véhicules automobiles légers
",80238130100026,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,	Henry Frederic,"H And Co
"," 06 92 33 30 55
",,"211 RUE DES METIERS, ", 97440 SAINT-ANDRE,"Commerce de détail d'équipements automobiles
",81116005000019,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,	GOVIND LILIAN,M.C.L PROTECTION," 06 92 11 23 26
",,590 chemin Rio  ,97440 Saint André  ,"Commerce de détail d'équipements automobiles
",82184652400014,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,	Mamod Kourdjee Galib,SR DISTRIBUTION," 02 62 72 85 12
",,"SAINTE CLOTILDE, 65 AVENUE LECONTE DE LISLE, ", 97490 SAINT-DENIS,"Commerce de détail d'équipements automobiles
",90840002100014,,rpd pas,
lebon.commercial@disciplina.re,EMILE,        BEGUE FRANCOIS,FB 974 Carte Grise," 06 92 23 61 38
",,"LA MONTAGNE, 61 C CHEMIN DU RUISSEAU BLANC,  ",97417 SAINT-DENIS,"Commerce de voitures et de véhicules automobiles légers
",95333634400015,,NTC fb974cg@gmail.com,
lebon.commercial@disciplina.re,EMILE,Dejonghe Laurent,"Auto Parts Réunion
"," 06 92 12 02 69
",,"106 CHEMIN DES PRETRES, ", 97440 SAINT-ANDRE,"Commerce de gros d'équipements automobiles
",53280956300036,,Non du tout ne fais pas ,
lebon.commercial@disciplina.re,EMILE,RICHARD GILBERT,Gilbert Richard," 02 62 21 94 08
",,"20 LOTISSEMENT LEMERLE, RUE DU BOIS DE NEFLES, ", 97400 SAINT-DENIS,"Réparation de produits électroniques grand public
",31854030900024,,Non du tt,
lebon.commercial@disciplina.re,EMILE,        Leveneur Vincent,"Lifting Véhicules
"," 06 92 93 47 93
",,"33 CHEMIN DES PRETRES, ", 97440 SAINT-ANDRE,"Entretien et réparation de véhicules automobiles légers
",88152250200023,,OUI NTC lifting.vehicules@gmail.com,
lebon.commercial@disciplina.re,EMILE,	VELOU ADHUFARI,LIFE CARS AGENCY," 06 92 15 16 86
",,"APPARTEMENT 37   ENTREE A, 2 RUE JULES REYDELLET,  ",97400 SAINT-DENIS,"Commerce de voitures et de véhicules automobiles légers
",95179748900014,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	LAUDE BEGUE BRUNO,Bruno Laude Begue / Ultime Car design," 02 62 52 31 79
",,"28 RUE DESPREZ,  ",97441 SAINTE-SUZANNE,"Commerce de détail d'équipements automobiles
",50468638700011,,rps pas ,
lebon.commercial@disciplina.re,EMILE, Rouget Jean,"TAS SARL TOP AUTO SERVICES
(SARL TOP AUTO SERVICES)"," 06 92 75 63 68
",,"ZONE INDUSTRIELLE, 7 RUE DES LILAS, ", 97412 BRAS-PANON,"Entretien et réparation de véhicules automobiles légers
",40329762500010,,rpd pas,
lebon.commercial@disciplina.re,EMILE,Malphettes Pierre-Louis,"(PNEUS CASH, PNEUDEAL)"," 02 62 74 80 10
",,433 avenue Mascareignes  ,97440 Saint André ,"Commerce de détail d'équipements automobiles
",82465257200150,,rpd pas,
lebon.commercial@disciplina.re,EMILE,Angama Jean,P.L.P.I SARL," 02 62 28 76 92
",, 12 chemin Gén de Gaulle Le Brûlé , 97400 Saint Denis  ,"Activités des sociétés holding
",52266988600023,,rpd pas,
lebon.commercial@disciplina.re,EMILE, ABELARD Marie-Jocelyne,"Charcuterie Royale
"," 02 62 47 83 60
",,"AVENUE DE BOURBON, 16 B LOTISSEMENT BOUGAINVILLIERS,  ",97440 SAINT-ANDRE,Charcuterie,50046538000011,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	Moinard Claude,"Start Conduite
"," 02 62 97 13 04
",,17 rue Ste Marie , 97400 Saint Denis,"Enseignement de la conduite
",38765707500041,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,Minatchy Emmanuel,"EM Conduite
"," 02 62 50 04 45
",,"7 LOT APPAVOU LES BENGALIS,  ",97437 SAINT-BENOIT,"Enseignement de la conduite
",80404369300014,,Pas du tout ,
lebon.commercial@disciplina.re,EMILE,Hoarau Freddy,"Auto-Moto Ecole du Butor
"," 02 62 94 83 57
",,"7 B AVENUE MARECHAL DE LATTRE DE TASSIGNY,  ",97490 SAINT-DENIS,"Enseignement de la conduite
",80135219600019,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,Boutault Jonathan,"Auto École JB Desbassyns 
"," 06 93 63 01 32
",,24 B RUE DESBASSYNS ,", 97438 SAINTE-MARIE","Enseignement de la conduite
",90152855400016,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	Nourby Freddy,Nourby," 06 93 62 67 65
",,"IMMEUBLE VICTORIA, 740 RUE DE LA COMMUNAUTE,  ",97440 SAINT-ANDRE," Enseignement de la conduite
",79103878900032,,non attribué ,
lebon.commercial@disciplina.re,EMILE,	Allamele Jean-Laurent,AEFC," 06 92 64 51 84
",,"20 RUE FRANCOIS VITRY,  ",97470 SAINT-BENOIT,Enseignement de la conduite,53219208500019,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,	SIRACUSE LISE-MAY,"SIRACUSE LISE-MAY
(AUTO ECOLE ALIETTE)"," 02 62 50 20 98
",,"64 RUE MONTFLEURY,  ",97470 SAINT-BENOIT,Enseignement de la conduite,43037072600035,,non du tout ,
lebon.commercial@disciplina.re,EMILE,	AMOURGOM PASCAL,"Euro Conduite Emily
"," 02 62 58 15 78
",,"147 BIS LES SALANGANES, 66 RUE MAINGARD,  ",97440 SAINT-ANDRE,Enseignement de la conduite,41236430900036,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,	GUICHARD MARIE,"Les Precieuses et Vous
"," 06 92 01 66 24
",,"RESID BETHANIE APT 8, 93 RUE COMORAPOULLE,  ",97440 SAINT-ANDRE,"Fabrication d'articles de bijouterie fantaisie et articles similaires
",84285202200016,,rpd pas ,
lebon.commercial@disciplina.re,EMILE,SATSOU SOKATALY,"Energie Minerale
"," 02 62 58 79 74
",,"59 RUE JEAN CHATEL,  ",97400 SAINT-DENIS,"Commerce de détail d'autres équipements du foyer
",31735213600020,,Non du tout ,
lebon.commercial@disciplina.re,EMILE,BIOTOPE SAVEURS,"Agence Bourbonnaise De Nettoyage
"," 02 62 41 04 66
",,"26 RUE RONTAUNAY,  ",97400 SAINT-DENIS,"Nettoyage courant des bâtiments
",35000864500037,,Non du tout deja centre ,
lebon.commercial@disciplina.re,EMILE,	LAI-THIONG-HUNG Adelaide,"Agence Immobilière Bourbonnaise AIB
"," 02 62 58 11 41
",,"1042 AVENUE ILE DE FRANCE,  ",97440 SAINT-ANDRE,"Agences immobilières
",53974402900031,,Complet ,
lebon.commercial@disciplina.re,EMILE,	RAIMBAULT AURELIE,"Liliperles-974 
"," 06 92 24 54 61
",,"1451 RUE LAGOURGUE,  ",97440 SAINT-ANDRE,"Fabrication d'articles de bijouterie fantaisie et articles similaires
",80830748200014,,rpd pas,
lebon.commercial@disciplina.re,EMILE,SATSOU SOKATALY,Alampur, 02 62 20 46 12 ,,35 rue Jean Chatel  ,97400 Saint Denis ,"Commerce de détail d'autres équipements du foyer
",31735213600038,,Non complet ,
lebon.commercial@disciplina.re,EMILE,Mitride Stéphane,Tropik Location 974," 06 92 47 88 99
",,"259 CHEMIN GRAND FOND,  ",97470 SAINT-BENOIT,"Location de courte durée de voitures et de véhicules automobiles légers
",94798118900014,,NON,
lebon.commercial@disciplina.re,EMILE,	BERTRAND SANDRINE,"Graines de Folie & Co
"," 06 92 05 91 71
",,"17 ROUTE DU PARADIS,  ",97438 SAINTE-MARIE,"Hébergement touristique et autre hébergement de courte durée
",84234779100035,,Non ne peut pas ,
lebon.commercial@disciplina.re,EMILE,"Emilie Hardy
","Emilie Hardy
"," 02 62 47 79 68
",,"LA MARE, 21 RUE DU DOUBLE DIX,  ",97438 SAINTE-MARIE,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues
",47882171300037,,Non attribué ,
lebon.commercial@disciplina.re,EMILE,SAUTRON MICHELINE,"Stéphanie Sautron 
"," 02 62 98 51 43
",,"RES  CARDINAL BAT B  LOCAL  3, 9 RUE HUBERT DELISLE, ", 97470 SAINT-BENOIT,"Activités d'enquête
",81453692600011,,OUI AD polyvalente juridique et chargée de recouvrement recouvrement@stephaniesautron.fr,
lebon.commercial@disciplina.re,EMILE,        MANCIET Gilbert,"Agence Régionale Developpement Investissement Innovation NEXA
"," 02 62 20 21 21
",,"HOTEL DE REGION REUNION, AVENUE RENE CASSIN, ", 97490 SAINT-DENIS,"Ingénierie, études techniques
",44258384500031,,envoyé prise de contact ok ,
